"","type","ifp_id","fcast.date","dist","par.1","par.2","q_05","q_25","q_50","q_75","q_95","method"
"18","user","1416-0",2014-12-30,"gamma",3.03731852730803,0.0132777519822435,63.0288648342689,132.31528807678,204.19708656253,298.645525046741,478.361799692116,"CM1: Median Theta"
"19","user","1418-0",2014-09-28,"gamma",2.05486227897074,0.033427913432077,11.2956969749625,29.9653941182009,51.8384844942179,82.6090037271736,144.566726866004,"CM1: Median Theta"
"20","fixed","1418-0",2014-09-28,"gamma",5.45737478398414,0.0421159299044025,53.6618372458163,89.1781252346223,121.756914078316,161.492227949774,232.20680080139,"CM1: Median Theta"
"21","random","1418-0",2014-09-28,"gamma",3.85393165637702,0.055476090820136,23.1131026529489,43.5405490787852,63.5627837818265,89.0019758713159,136.002678030142,"CM1: Median Theta"
"22","fixed","1423-0",2014-11-10,"gamma",9.66628190745164,0.027575310860939,187.854139880113,269.399970718007,338.529994502745,418.62155200051,554.221092666207,"CM1: Median Theta"
"23","user","1423-0",2014-11-10,"gamma",4.00154796714014,0.0176236754912321,77.578362362204,143.931004498366,208.447236499394,290.021622085288,440.081994651184,"CM1: Median Theta"
"24","random","1423-0",2014-11-10,"gamma",17.9807478358078,0.118356320814266,98.1680385338563,126.472456276288,149.11358645795,174.312702997419,215.250173364483,"CM1: Median Theta"
"25","user","1424-0",2014-09-14,"normal",38.6237307627901,2.52836592305208,34.4649389039974,36.9183738629465,38.6237307627901,40.3290876626338,42.7825226215829,"CM1: Median Theta"
"26","fixed","1424-0",2014-09-14,"normal",38.8631909199129,2.14470007255408,35.3354732268493,37.4166127037304,38.8631909199129,40.3097691360955,42.3909086129766,"CM1: Median Theta"
"27","random","1424-0",2014-09-14,"normal",39.4499988706638,1.51133792462251,36.9640692037992,38.4306169314233,39.4499988706638,40.4693808099043,41.9359285375285,"CM1: Median Theta"
"28","user","1425-0",2014-11-16,"gamma",3.10444108713228,0.0119883311167608,72.7110031222785,150.991521823817,231.744231950361,337.498466641162,538.155108684809,"CM1: Median Theta"
"29","fixed","1425-0",2014-11-16,"gamma",4.43327937120464,0.0503082848027534,32.2477127363986,57.5221507641695,81.5923804133302,111.644065120163,166.295274158156,"CM1: Median Theta"
"30","random","1425-0",2014-11-16,"gamma",3.75915023099401,0.121256998728399,10.129780098289,19.2812038984411,28.3001200821163,39.7966819431804,61.0995981259151,"CM1: Median Theta"
"31","fixed","1427-0",2014-12-30,"gamma",3.08355233394236,0.0182138692524689,47.2614722084102,98.4708289351539,151.389643357833,220.762859853301,352.506061007068,"CM1: Median Theta"
"32","user","1427-0",2014-12-30,"gamma",2.99960512017105,0.0106133132916787,77.0248634280234,162.71893483566,251.916290345403,369.340484089987,593.142084909244,"CM1: Median Theta"
"33","random","1427-0",2014-12-30,"gamma",7.1555523951944,0.0364803035395204,92.9845868385347,143.034016249472,187.090595710272,239.422410696647,330.230929621567,"CM1: Median Theta"
"34","random","1428-0",2014-12-30,"gamma",4.65453415606409,0.0378043114797093,46.4629287508711,81.4316901019271,114.425605302378,155.382687407503,229.475325926741,"CM1: Median Theta"
"35","user","1428-0",2014-12-30,"gamma",7.26474641420816,0.026799012123334,129.385122056413,198.254245669504,258.750955567634,330.513220267682,454.873848331212,"CM1: Median Theta"
"36","fixed","1428-0",2014-12-30,"gamma",3.69146264996827,0.0204936336897412,58.0730286877982,111.390681257417,164.149292654484,231.564752805236,356.753965844182,"CM1: Median Theta"
"37","fixed","1429-0",2014-09-21,"gamma",2.47739644283211,0.0374686203262258,15.0060336771902,35.2285075297137,57.4672803010335,87.6761930457692,146.79525200287,"CM1: Median Theta"
"38","user","1429-0",2014-09-21,"gamma",2.36500615652864,0.0883607934915745,5.78295346554996,13.9676043274475,23.1021247405716,35.6132493299612,60.2650413333617,"CM1: Median Theta"
"39","random","1429-0",2014-09-21,"gamma",1.77880067704899,0.0358542954818235,7.54396748330018,22.3408039155473,40.6879991743113,67.2975090766605,122.177524186417,"CM1: Median Theta"
"40","user","1431-0",2014-11-23,"normal",7869.10881541797,2812.01681431826,3243.75275933805,5972.43229678126,7869.10881541797,9765.78533405468,12494.4648714979,"CM1: Median Theta"
"41","fixed","1431-0",2014-11-23,"normal",9326.62328508717,8322.5736564997,-4362.79217937713,3713.1326585262,9326.62328508717,14940.1139116481,23016.0387495515,"CM1: Median Theta"
"42","random","1431-0",2014-11-23,"normal",15922.7483630801,11925.4366113721,-3692.84930011515,7879.16360209653,15922.7483630801,23966.3331240636,35538.3460262753,"CM1: Median Theta"
"43","user","1432-0",2014-10-08,"gamma",4.62809382150131,0.0339209503953991,51.306094515592,90.1022711076139,126.746713931952,172.265547451185,254.660718368475,"CM1: Median Theta"
"44","fixed","1432-0",2014-10-08,"gamma",1.67922239185981,0.0132291760975676,17.7631515937793,55.2129047382554,102.817281312385,172.773085472458,318.518986763754,"CM1: Median Theta"
"45","random","1432-0",2014-10-08,"gamma",3.80338625793911,0.011245046307673,111.462931093308,211.12509444587,309.091711682344,433.778508266721,664.502617290487,"CM1: Median Theta"
"46","user","1433-0",2014-10-06,"gamma",2.61936303094572,0.0113252931875973,55.539577214627,126.205390495795,202.61113496815,305.412036575605,504.997216421813,"CM1: Median Theta"
"47","fixed","1433-0",2014-10-06,"gamma",3.0741331333991,0.00926532964469501,92.3792792787509,192.767479038493,296.589153869778,432.755652454234,691.445589295379,"CM1: Median Theta"
"48","random","1433-0",2014-10-06,"gamma",4.4404980625769,0.0206240383230153,78.8725154391757,140.605287137879,199.378166815493,272.741838409677,406.13538904572,"CM1: Median Theta"
"49","user","1434-0",2014-12-30,"gamma",1.90594224451996,0.00834258031499735,38.1544923179241,106.992304807096,189.983772783596,308.556212278652,550.255143307756,"CM1: Median Theta"
"50","fixed","1434-0",2014-12-30,"gamma",1.82587909423249,0.0134003332866737,21.4827160435463,62.2927724131671,112.349388211567,184.530296008392,332.731748270537,"CM1: Median Theta"
"51","random","1434-0",2014-12-30,"gamma",2.63767170495996,0.000774836940470219,823.093250914373,1862.96190668042,2984.9793957129,4492.84469031092,7417.45562175534,"CM1: Median Theta"
