"","ifp_id","fcast.date","dist","par.1","par.2","q_05","q_25","q_50","q_75","q_95","method"
"1","1410-0",16304,"beta",32.7362391700322,48.2159286738334,0.316515007186046,0.367122126349393,0.403598736965088,0.440802092177324,0.494968054252241,"CM1: Median Theta"
"2","1412-0",16304,"normal",1285.47282591656,46.336993815013,1209.25525357791,1254.21899853344,1285.47282591656,1316.72665329969,1361.69039825521,"CM1: Median Theta"
"3","1414-0",16304,"normal",5296782.63663638,535139.008447086,4416557.29766897,4935836.86050872,5296782.63663638,5657728.41276403,6177007.97560378,"CM1: Median Theta"
"4","1415-0",16304,"gamma",2.1737204723803,0.0174796907683569,24.4409352427598,62.358073549187,105.89466551137,166.469316440189,287.363294329706,"CM1: Median Theta"
"5","1413-0",16304,"gamma",4.23044628868407,0.014307583969672,104.931358142841,190.491808010346,272.735755136401,376.00274903407,564.775577933275,"CM1: Median Theta"
"6","1410-0",16305,"beta",26.8970595876855,44.639923192726,0.284379649262563,0.336686352656431,0.374826313713789,0.414034923616974,0.471567426514293,"CM1: Median Theta"
"7","1412-0",16305,"normal",1283.38608094865,48.0533055445451,1204.3454270367,1250.97461889581,1283.38608094865,1315.79754300149,1362.4267348606,"CM1: Median Theta"
"8","1414-0",16305,"normal",5302765.56320132,554738.069886515,4390302.63694042,4928600.42101931,5302765.56320132,5676930.70538333,6215228.48946221,"CM1: Median Theta"
"9","1415-0",16305,"gamma",1.91100931591743,0.0216754435429422,14.7756115297999,41.3496821531908,73.3541723133651,119.054294216888,212.168623531175,"CM1: Median Theta"
"10","1413-0",16305,"gamma",4.23044386542328,0.0169998904406756,88.3130858458298,160.323123380435,229.541908616664,316.454278786575,475.330744671979,"CM1: Median Theta"
"11","1410-0",16306,"beta",27.1324197580381,47.2901173789979,0.275460500172422,0.3262436164174,0.363353312708979,0.401584051689252,0.457851543110062,"CM1: Median Theta"
"12","1412-0",16306,"normal",1283.39003610263,46.6720679432662,1206.62131586882,1251.91020465444,1283.39003610263,1314.86986755082,1360.15875633644,"CM1: Median Theta"
"13","1414-0",16306,"normal",5177473.7734197,356528.325629439,4591036.86389718,4936999.07212807,5177473.7734197,5417948.47471133,5763910.68294222,"CM1: Median Theta"
"14","1415-0",16306,"gamma",1.7456979997365,0.0432711586255285,5.97363671952564,17.9664781027364,32.9557094463728,54.7870467499639,99.959682140928,"CM1: Median Theta"
"15","1413-0",16306,"gamma",4.6529729465454,0.0198054944240689,88.6392785699057,155.369149811276,218.33444659906,296.499626694682,437.907941341879,"CM1: Median Theta"
"16","1410-0",16304,"beta",32.7362391700322,48.2159286738334,0.316515007186046,0.367122126349393,0.403598736965088,0.440802092177324,0.494968054252241,"CM1: Median Theta"
"17","1412-0",16304,"normal",1285.47282591656,46.336993815013,1209.25525357791,1254.21899853344,1285.47282591656,1316.72665329969,1361.69039825521,"CM1: Median Theta"
"18","1414-0",16304,"normal",5296782.63663638,535139.008447086,4416557.29766897,4935836.86050872,5296782.63663638,5657728.41276403,6177007.97560378,"CM1: Median Theta"
"19","1415-0",16304,"gamma",2.19213247990428,0.0174796764449419,24.8906172227875,63.1460557124945,106.942281255834,167.779835087291,289.040021268404,"CM1: Median Theta"
"20","1413-0",16304,"gamma",4.23045975551796,0.0143069861700907,104.936299514878,190.500546698311,272.74809111637,376.019561352386,564.800505904973,"CM1: Median Theta"
"21","1410-0",16305,"beta",26.8970595876855,44.639923192726,0.284379649262563,0.336686352656431,0.374826313713789,0.414034923616974,0.471567426514293,"CM1: Median Theta"
"22","1412-0",16305,"normal",1283.38608094865,48.0533055445451,1204.3454270367,1250.97461889581,1283.38608094865,1315.79754300149,1362.4267348606,"CM1: Median Theta"
"23","1414-0",16305,"normal",5302765.56320132,554738.069886515,4390302.63694042,4928600.42101931,5302765.56320132,5676930.70538333,6215228.48946221,"CM1: Median Theta"
"24","1415-0",16305,"gamma",1.89878510748525,0.0216745696988109,14.5582594254635,40.9418385990173,72.7973588832572,118.34662750679,211.252819430878,"CM1: Median Theta"
"25","1413-0",16305,"gamma",4.23044902104603,0.0169999380022905,88.3130182118569,160.322925897129,229.541569295118,316.453748325745,475.329843179455,"CM1: Median Theta"
"26","1410-0",16306,"beta",27.1324197580381,47.2901173789979,0.275460500172422,0.3262436164174,0.363353312708979,0.401584051689252,0.457851543110062,"CM1: Median Theta"
"27","1412-0",16306,"normal",1283.39003610263,46.6720679432662,1206.62131586882,1251.91020465444,1283.39003610263,1314.86986755082,1360.15875633644,"CM1: Median Theta"
"28","1414-0",16306,"normal",5177473.7734197,356528.325629439,4591036.86389718,4936999.07212807,5177473.7734197,5417948.47471133,5763910.68294222,"CM1: Median Theta"
"29","1415-0",16306,"gamma",2.05767018249027,0.0432692636570594,8.75312198795443,23.1978711642939,40.1125980490029,63.9013157944773,111.790438024382,"CM1: Median Theta"
"30","1413-0",16306,"gamma",4.6531540500537,0.0198042820392062,88.6502943455206,155.386311781619,218.356947662634,296.528402272516,437.947480179287,"CM1: Median Theta"
"31","1410-0",16307,"beta",26.3220969436479,45.0251993228405,0.277681908430326,0.329690546326273,0.367697900496729,0.406837767512807,0.464384254113352,"CM1: Median Theta"
"32","1412-0",16307,"normal",1286.49067570435,43.2575736311551,1215.33829882402,1257.31388567178,1286.49067570435,1315.66746573692,1357.64305258468,"CM1: Median Theta"
"33","1414-0",16307,"normal",5280503.6149365,350333.311465329,4704256.59693083,5044207.38720088,5280503.6149365,5516799.84267211,5856750.63294216,"CM1: Median Theta"
